OrderID,Date,Region,SalesRep,Product,Qty,Price,Total
20000,2023-08-04,East,Sarah,Widget A,3,25.0,75.0
20001,2023-04-06,East,John,Gadget B,3,45.0,135.0
20002,2023-03-26,East,Sarah,Desk Organizer,1,30.0,30.0
20003,2023-08-24,South,James,Keyboard Light,5,12.0,60.0
20004,2023-10-21,East,Sarah,Gadget B,3,45.0,135.0
20005,2023-06-02,South,James,Gadget B,3,45.0,135.0
20006,2023-08-13,North,Emma,Widget A,1,25.0,25.0
20007,2023-06-17,West,David,Gadget B,2,45.0,90.0
20008,2023-04-28,East,Sarah,Desk Organizer,5,30.0,150.0
20009,2023-06-22,West,David,Gadget B,2,45.0,90.0
20010,2023-10-03,North,Robert,Keyboard Light,1,12.0,12.0
20011,2023-11-12,East,John,Keyboard Light,5,12.0,60.0
20012,2023-08-17,East,John,Gadget B,2,45.0,90.0
20013,2023-02-24,South,Patricia,Widget A,1,25.0,25.0
20014,2023-07-26,West,David,Desk Organizer,1,30.0,30.0
20015,2023-01-11,East,Sarah,Wireless Mouse,1,15.0,15.0
20016,2023-07-19,North,Emma,Widget A,2,25.0,50.0
20017,2023-10-19,West,Michael,Wireless Mouse,1,15.0,15.0
20018,2023-07-07,West,Michael,Keyboard Light,2,12.0,24.0
20019,2023-09-15,South,Patricia,Widget A,2,25.0,50.0
20020,2023-09-25,North,Robert,Gadget B,1,45.0,45.0
20021,2023-05-07,East,Susan,Desk Organizer,2,30.0,60.0
20022,2023-12-04,North,Emma,Desk Organizer,1,30.0,30.0
20023,2023-08-18,East,John,Keyboard Light,2,12.0,24.0
20024,2023-07-04,East,Sarah,Keyboard Light,5,12.0,60.0
20025,2023-04-08,South,Patricia,Widget A,1,25.0,25.0
20026,2023-10-24,South,Patricia,Gadget B,3,45.0,135.0
20027,2023-09-15,South,Patricia,Keyboard Light,1,12.0,12.0
20028,2023-07-02,East,John,Gadget B,10,45.0,450.0
20029,2023-05-13,North,Emma,Wireless Mouse,5,15.0,75.0
20030,2023-06-07,East,Susan,Widget A,1,25.0,25.0
20031,2023-11-04,South,James,Widget A,2,25.0,50.0
20032,2023-12-28,East,Sarah,Keyboard Light,1,12.0,12.0
20033,2023-10-12,East,John,Keyboard Light,3,12.0,36.0
20034,2023-05-09,East,Susan,Keyboard Light,3,12.0,36.0
20035,2023-06-18,East,Susan,Desk Organizer,3,30.0,90.0
20036,2023-01-26,South,Patricia,Desk Organizer,2,30.0,60.0
20037,2023-10-21,East,Sarah,Gadget B,5,45.0,225.0
20038,2023-11-13,East,John,Keyboard Light,2,12.0,24.0
20039,2023-01-04,South,Patricia,Widget A,3,25.0,75.0
20040,2023-10-02,West,Michael,Gadget B,1,45.0,45.0
20041,2023-10-05,South,Patricia,Wireless Mouse,1,15.0,15.0
20042,2023-05-31,East,Susan,Keyboard Light,2,12.0,24.0
20043,2023-04-20,South,James,Desk Organizer,1,30.0,30.0
20044,2023-11-16,West,David,Keyboard Light,2,12.0,24.0
20045,2023-07-26,West,Michael,Gadget B,1,45.0,45.0
20046,2023-12-31,East,Susan,Wireless Mouse,1,15.0,15.0
20047,2023-04-12,South,James,Widget A,2,25.0,50.0
20048,2023-06-03,South,James,Widget A,1,25.0,25.0
20049,2023-07-16,North,Robert,Wireless Mouse,3,15.0,45.0
20050,2023-06-13,West,David,Keyboard Light,1,12.0,12.0
20051,2023-11-26,North,Emma,Widget A,5,25.0,125.0
20052,2023-10-08,East,John,Keyboard Light,10,12.0,120.0
20053,2023-10-30,West,David,Keyboard Light,1,12.0,12.0
20054,2023-02-25,South,James,Keyboard Light,1,12.0,12.0
20055,2023-08-02,West,Michael,Keyboard Light,1,12.0,12.0
20056,2023-07-06,East,John,Keyboard Light,2,12.0,24.0
20057,2023-10-03,East,Sarah,Widget A,2,25.0,50.0
20058,2023-11-05,South,James,Widget A,2,25.0,50.0
20059,2023-10-11,North,Robert,Wireless Mouse,3,15.0,45.0
20060,2023-03-08,North,Emma,Wireless Mouse,1,15.0,15.0
20061,2023-07-18,South,Patricia,Desk Organizer,2,30.0,60.0
20062,2023-03-20,East,Sarah,Widget A,3,25.0,75.0
20063,2023-11-24,East,John,Wireless Mouse,3,15.0,45.0
20064,2023-03-12,East,Susan,Keyboard Light,2,12.0,24.0
20065,2023-10-18,North,Emma,Wireless Mouse,3,15.0,45.0
20066,2023-10-29,North,Robert,Wireless Mouse,1,15.0,15.0
20067,2023-02-17,North,Emma,Gadget B,1,45.0,45.0
20068,2023-01-31,East,John,Desk Organizer,3,30.0,90.0
20069,2023-08-24,West,Michael,Desk Organizer,1,30.0,30.0
20070,2023-09-12,East,Susan,Desk Organizer,1,30.0,30.0
