date,ticker,open,high,low,close,volume
2020-01-02,AAPL,150.0,156.62,148.24,150.08,44194658
2020-01-03,AAPL,150.08,153.81,149.65,152.41,62474921
2020-01-06,AAPL,152.41,154.67,147.7,154.35,67918169
2020-01-07,AAPL,154.35,157.98,154.1,156.88,66780018
2020-01-08,AAPL,156.88,168.17,155.69,162.39,46361062
2020-01-09,AAPL,162.39,164.68,160.51,163.43,52754665
2020-01-10,AAPL,163.43,164.32,157.45,157.57,44514787
2020-01-13,AAPL,157.57,158.35,155.67,157.0,56836427
2020-01-14,AAPL,157.0,162.21,149.05,151.33,50566583
2020-01-15,AAPL,151.33,151.59,149.8,150.58,38018003
2020-01-16,AAPL,150.58,151.47,148.48,148.67,34728684
2020-01-17,AAPL,148.67,151.59,147.61,147.65,64249212
2020-01-20,AAPL,147.65,154.14,147.48,149.16,55502699
2020-01-21,AAPL,149.16,154.67,147.11,153.78,44167332
2020-01-22,AAPL,153.78,155.99,151.57,155.22,73943683
2020-01-23,AAPL,155.22,159.19,153.56,156.91,44178744
2020-01-24,AAPL,156.91,157.84,152.91,154.42,46509296
2020-01-27,AAPL,154.42,156.7,153.7,156.09,51890986
2020-01-28,AAPL,156.09,161.15,155.57,157.61,27194094
2020-01-29,AAPL,157.61,160.32,153.85,156.74,37195577
2020-01-30,AAPL,156.74,158.01,154.03,157.82,43032825
2020-01-31,AAPL,157.82,160.97,157.72,160.87,49118217
2020-02-03,AAPL,160.87,161.56,160.16,161.33,67400258
2020-02-04,AAPL,161.33,163.85,154.52,156.77,53718953
2020-02-05,AAPL,156.77,161.13,152.78,159.27,48269500
2020-02-06,AAPL,159.27,167.1,158.48,166.75,59917977
2020-02-07,AAPL,166.75,166.85,162.0,164.39,68759327
2020-02-10,AAPL,164.39,170.2,164.29,169.12,67287357
2020-02-11,AAPL,169.12,172.35,169.11,170.83,70619715
2020-02-12,AAPL,170.83,173.29,170.53,171.74,43155034
2020-02-13,AAPL,171.74,173.08,162.9,165.01,50771015
2020-02-14,AAPL,165.01,167.56,164.72,166.8,33571041
2020-02-17,AAPL,166.8,168.23,155.69,163.98,46600359
2020-02-18,AAPL,163.98,166.63,163.83,166.29,56812325
2020-02-19,AAPL,166.29,167.16,163.68,164.84,57132935
2020-02-20,AAPL,164.84,166.29,162.1,162.36,52252121
2020-02-21,AAPL,162.36,171.83,162.28,169.87,80776045
2020-02-24,AAPL,169.87,171.51,166.57,168.5,35916328
2020-02-25,AAPL,168.5,171.44,160.95,170.18,47692119
2020-02-26,AAPL,170.18,173.72,167.21,172.07,46521513
2020-02-27,AAPL,172.07,174.9,166.21,171.83,62000260
2020-02-28,AAPL,171.83,172.26,165.9,167.77,62489525
2020-03-02,AAPL,167.77,168.78,161.62,164.82,24026544
2020-03-03,AAPL,164.82,165.01,161.1,161.55,65382517
2020-03-04,AAPL,161.55,166.27,153.56,165.54,36952941
2020-03-05,AAPL,165.54,165.66,164.71,165.29,45498309
2020-03-06,AAPL,165.29,169.24,165.26,168.49,47588932
2020-03-09,AAPL,168.49,171.96,165.95,166.29,59237195
2020-03-10,AAPL,166.29,167.08,164.17,165.48,66341614
2020-03-11,AAPL,165.48,165.85,158.18,158.58,47564985
2020-03-12,AAPL,158.58,159.62,156.05,156.65,54904807
