applicant_id,credit_score,annual_income,loan_amount,loan_term_months,employment_length_yrs,debt_to_income,num_prior_defaults,home_ownership,loan_purpose,interest_rate,default
A50000,757,32900.0,14700,24,0.1,0.672,0,OWN,debt_consolidation,9.03,0
A50001,803,40000.0,22800,60,7.6,0.53,0,RENT,home_improvement,5.34,0
A50002,766,36100.0,30100,24,0.2,0.608,0,MORTGAGE,debt_consolidation,7.33,0
A50003,607,63700.0,8100,48,0.8,0.196,0,RENT,credit_card,10.48,0
A50004,576,50400.0,21300,60,0.8,0.256,0,RENT,small_business,12.79,1
A50005,685,37900.0,29000,36,6.9,0.542,1,OWN,major_purchase,8.45,0
A50006,745,136400.0,102500,36,5.4,0.338,0,MORTGAGE,medical,5.13,0
A50007,718,60100.0,36000,24,0.1,0.527,1,RENT,small_business,11.57,0
A50008,816,39000.0,15200,36,2.9,0.334,1,RENT,home_improvement,4.83,0
A50009,736,41100.0,32400,48,2.4,0.469,0,RENT,debt_consolidation,6.88,0
A50010,728,35000.0,29700,60,1.0,0.54,1,OWN,credit_card,9.2,1
A50011,625,94400.0,70700,36,3.3,0.606,0,OWN,credit_card,10.67,0
A50012,597,30000.0,22600,48,0.9,0.416,1,OWN,credit_card,10.77,1
A50013,791,47500.0,27700,48,2.0,0.271,0,RENT,credit_card,7.57,0
A50014,684,93200.0,31500,24,8.2,0.47,0,RENT,home_improvement,12.32,1
A50015,741,34400.0,29600,36,3.4,0.709,0,RENT,debt_consolidation,8.79,0
A50016,577,30900.0,9000,36,1.7,0.288,0,MORTGAGE,small_business,11.9,1
A50017,647,62600.0,56300,12,3.8,0.324,0,OWN,major_purchase,12.98,0
A50018,583,92200.0,12900,24,,0.13,1,RENT,home_improvement,15.37,0
A50019,622,33800.0,22400,36,5.5,0.488,1,OWN,small_business,9.8,0
A50020,748,42300.0,30200,48,4.3,0.3,0,MORTGAGE,debt_consolidation,12.64,0
A50021,569,70000.0,53700,48,9.4,0.355,0,OWN,medical,10.9,1
A50022,640,53200.0,8000,60,1.0,0.327,0,RENT,credit_card,12.52,0
A50023,692,49200.0,5500,60,0.0,0.155,0,OWN,credit_card,6.79,0
A50024,630,41800.0,36200,36,4.0,0.604,0,RENT,home_improvement,11.77,0
A50025,661,65200.0,43300,36,2.6,0.487,0,RENT,small_business,6.89,0
A50026,663,22000.0,19700,60,1.2,0.764,0,RENT,debt_consolidation,11.89,1
A50027,711,173200.0,121300,24,9.9,0.305,0,RENT,major_purchase,9.4,0
A50028,648,35000.0,20500,48,11.3,0.339,0,RENT,small_business,12.68,0
A50029,700,86200.0,50100,48,3.7,0.306,1,RENT,home_improvement,9.1,0
A50030,684,35500.0,23300,48,,0.59,1,MORTGAGE,home_improvement,10.82,0
A50031,712,72300.0,18800,36,16.6,0.301,0,MORTGAGE,debt_consolidation,7.83,0
A50032,697,36200.0,14000,24,20.1,0.307,0,MORTGAGE,home_improvement,9.41,1
A50033,804,96400.0,54400,48,1.6,0.325,0,RENT,credit_card,7.82,1
A50034,630,,54700,36,3.0,0.813,0,RENT,home_improvement,11.48,0
A50035,770,44000.0,23300,24,2.7,0.497,0,RENT,major_purchase,7.63,0
A50036,650,70700.0,20100,36,6.0,0.514,0,MORTGAGE,debt_consolidation,10.72,0
A50037,608,38400.0,24400,60,21.4,0.592,1,OWN,medical,11.09,1
A50038,771,73900.0,58500,48,3.5,0.54,0,MORTGAGE,home_improvement,5.66,1
A50039,647,82500.0,33400,60,1.8,0.428,0,MORTGAGE,medical,9.7,1
A50040,651,31600.0,11700,24,1.2,0.555,1,RENT,home_improvement,10.08,1
A50041,576,25900.0,18100,24,28.0,0.797,0,OWN,medical,11.79,1
A50042,523,70800.0,46400,48,7.7,0.51,1,MORTGAGE,home_improvement,16.87,1
A50043,728,27900.0,25000,24,4.1,0.632,0,RENT,debt_consolidation,11.39,0
A50044,593,29200.0,4500,48,0.8,0.436,1,MORTGAGE,debt_consolidation,12.76,1
A50045,738,36400.0,22400,24,0.9,0.626,0,OWN,debt_consolidation,6.33,1
A50046,819,39200.0,31600,36,1.4,0.322,0,RENT,home_improvement,8.57,0
A50047,671,,28200,48,4.6,0.399,0,RENT,debt_consolidation,9.78,0
A50048,596,87800.0,27300,48,7.3,0.426,0,MORTGAGE,credit_card,11.45,1
A50049,710,67100.0,18600,36,2.5,0.515,0,MORTGAGE,debt_consolidation,5.95,0
A50050,737,48800.0,38000,60,2.7,0.736,0,RENT,small_business,8.05,1
A50051,660,56100.0,36400,36,5.1,0.492,0,MORTGAGE,credit_card,10.73,1
A50052,681,47500.0,36000,24,5.7,0.481,0,MORTGAGE,major_purchase,8.16,0
A50053,780,55700.0,28300,48,22.1,0.23,0,RENT,credit_card,6.52,0
A50054,775,46300.0,21000,24,4.8,0.635,0,RENT,debt_consolidation,7.23,0
A50055,733,96300.0,15700,12,2.8,0.195,0,RENT,credit_card,7.21,0
A50056,615,32100.0,11500,12,11.5,0.297,1,RENT,home_improvement,8.15,0
A50057,676,102100.0,14400,12,8.2,0.677,0,RENT,credit_card,9.26,0
A50058,725,88500.0,18000,36,6.8,0.262,0,RENT,debt_consolidation,6.97,0
A50059,664,19200.0,16900,48,9.2,0.624,2,MORTGAGE,small_business,8.74,0
A50060,634,108800.0,27800,24,7.9,0.138,1,RENT,home_improvement,12.02,0
A50061,623,58500.0,22200,48,9.5,0.19,0,RENT,home_improvement,12.0,0
A50062,633,72000.0,59300,36,0.1,0.555,2,MORTGAGE,medical,12.13,1
A50063,630,36100.0,12800,24,,0.4,0,OWN,home_improvement,11.44,0
A50064,646,92100.0,41600,48,15.0,0.511,3,RENT,credit_card,10.14,0
A50065,766,155200.0,114800,36,7.0,0.591,0,RENT,credit_card,10.39,1
A50066,620,80300.0,50900,36,3.2,0.499,1,MORTGAGE,debt_consolidation,10.85,1
A50067,747,135400.0,35300,36,6.1,0.311,1,MORTGAGE,debt_consolidation,9.07,0
A50068,711,44200.0,27800,60,5.1,0.254,0,RENT,credit_card,8.99,1
A50069,690,51100.0,36900,36,8.5,0.438,0,MORTGAGE,debt_consolidation,10.85,0
A50070,618,19800.0,16600,24,5.5,0.738,0,MORTGAGE,medical,9.33,1
A50071,646,64200.0,41700,36,0.9,0.482,1,MORTGAGE,medical,11.28,0
A50072,828,33800.0,9500,60,2.1,0.348,0,RENT,major_purchase,5.91,0
A50073,687,32200.0,10600,36,2.6,0.386,1,MORTGAGE,debt_consolidation,11.15,0
A50074,720,53300.0,45000,12,13.1,0.472,0,MORTGAGE,debt_consolidation,12.0,0
A50075,730,51300.0,23400,48,1.3,0.163,0,RENT,credit_card,7.4,1
A50076,759,22800.0,12900,48,7.7,0.519,0,RENT,debt_consolidation,9.41,0
A50077,662,39300.0,31700,60,7.5,0.532,0,MORTGAGE,debt_consolidation,5.68,0
A50078,634,45300.0,26900,60,18.6,0.95,1,MORTGAGE,debt_consolidation,10.77,0
A50079,676,144900.0,124600,48,12.4,0.469,1,RENT,home_improvement,10.83,0
A50080,660,86900.0,67600,60,2.8,0.415,0,OWN,credit_card,9.42,0
A50081,739,52900.0,5700,36,0.8,0.208,0,MORTGAGE,home_improvement,8.22,0
