transaction_id,hour,amount,hist_avg_amount,amount_ratio,account_age_days,n_tx_last_24h,distance_from_home_km,is_foreign,merchant_category,is_fraud
T700000,22,7.13,18.12,0.39,2120,1,0.2,0,fuel,0
T700001,12,12.39,22.81,0.54,2707,1,3.8,0,travel,0
T700002,18,59.0,30.41,1.94,1138,2,11.7,0,grocery,0
T700003,13,257.49,43.2,5.96,1667,2,12.9,0,electronics,0
T700004,4,20.38,59.8,0.34,775,4,1.6,0,grocery,0
T700005,12,31.45,48.64,0.65,1791,1,3.3,0,restaurant,0
T700006,22,53.61,35.99,1.49,1658,3,3.1,0,restaurant,0
T700007,23,4.59,43.61,0.11,1239,4,1.1,0,online,0
T700008,23,124.18,32.78,3.79,1794,2,6.7,0,online,0
T700009,14,7.58,16.15,0.47,1695,4,11.4,0,restaurant,0
T700010,7,38.41,75.14,0.51,293,3,41.8,1,restaurant,0
T700011,13,14.48,32.48,0.45,468,4,4.0,0,restaurant,0
T700012,15,163.84,16.64,9.85,145,3,4.1,0,grocery,0
T700013,6,31.35,33.42,0.94,690,3,13.4,0,grocery,0
T700014,23,247.22,67.93,3.64,2478,0,5.5,0,online,0
T700015,13,16.06,41.3,0.39,1554,1,17.8,0,restaurant,0
T700016,8,7.37,22.58,0.33,1885,2,1.5,0,fuel,0
T700017,11,16.83,15.49,1.09,6,2,10.7,0,online,0
T700018,2,30.94,20.04,1.54,1225,2,0.6,0,electronics,0
T700019,14,57.65,43.02,1.34,2203,4,14.0,0,electronics,0
T700020,8,18.56,28.32,0.66,1889,2,0.7,0,grocery,0
T700021,22,34.38,39.53,0.87,2883,2,6.3,0,fuel,0
T700022,7,14.46,26.76,0.54,859,4,6.3,0,atm,0
T700023,5,13.4,41.07,0.33,423,1,0.2,1,restaurant,0
T700024,14,20.55,33.63,0.61,971,6,1.1,0,fuel,0
T700025,7,51.86,23.38,2.22,2849,1,0.1,0,fuel,0
T700026,8,13.79,40.48,0.34,1651,6,6.0,0,electronics,0
T700027,9,15.94,84.88,0.19,1080,7,27.0,1,restaurant,0
T700028,16,22.57,70.25,0.32,1248,1,6.6,0,grocery,0
T700029,6,50.53,80.76,0.63,77,3,7.1,0,restaurant,0
T700030,21,20.03,23.46,0.85,819,0,11.9,0,restaurant,0
T700031,8,63.72,34.04,1.87,1522,5,20.5,0,grocery,0
T700032,18,20.5,22.97,0.89,1402,5,14.9,0,online,0
T700033,22,69.52,32.58,2.13,293,6,3.4,0,online,0
T700034,16,37.99,31.39,1.21,468,2,5.9,0,travel,0
T700035,9,12.06,12.12,1.0,612,4,20.2,0,grocery,0
T700036,16,31.83,23.21,1.37,1349,1,8.4,0,restaurant,0
T700037,18,39.43,17.79,2.22,2983,4,0.4,0,restaurant,0
